Contrato,Categoria,LLM,VP,FP,FN,Latência (segundos),Soma das Diferenças,Total de Amostras
Governance.sol,Governance,Gemini 2.0 Flash Thinking Experimental 01-21,0,1,3,"6,04",0,0
CheckToken.sol,Contratos Limpos,GPT-4o,0,6,0,"6,12",0,0
CheckToken.sol,Contratos Limpos,DeepSeek-R1,0,3,0,"38,17",0,0
CheckToken.sol,Contratos Limpos,Llama 3.3,0,9,0,"14,94",0,0
CheckToken.sol,Contratos Limpos,Gemini 2.0 Flash Thinking Experimental 01-21,0,2,0,"8,94",0,0
LERC20Burnable.sol,Governance,GPT-4o,0,10,1,"44,19",0,0
LERC20Burnable.sol,Governance,DeepSeek-R1,0,8,1,"82,44",0,0
LERC20Burnable.sol,Governance,Llama 3.3,1,12,0,"16,02",1,1
LERC20Burnable.sol,Governance,Gemini 2.0 Flash Thinking Experimental 01-21,0,10,1,"11,70",0,0
IBlacklist.sol,Contratos Limpos,GPT-4o,0,7,0,"24,04",0,0
IBlacklist.sol,Contratos Limpos,DeepSeek-R1,0,7,0,"32,75",0,0
IBlacklist.sol,Contratos Limpos,Llama 3.3,0,10,0,"7,32",0,0
IBlacklist.sol,Contratos Limpos,Gemini 2.0 Flash Thinking Experimental 01-21,0,7,0,"9,49",0,0
AITECH.sol,Contratos Limpos,GPT-4o,0,6,0,"21,43",0,0
AITECH.sol,Contratos Limpos,DeepSeek-R1,0,6,0,"33,56",0,0
AITECH.sol,Contratos Limpos,Llama 3.3,0,11,0,"5,16",0,0
AITECH.sol,Contratos Limpos,Gemini 2.0 Flash Thinking Experimental 01-21,0,4,0,"8,62",0,0
BlackCardCoin.sol,Contratos Limpos,GPT-4o,0,8,0,"28,35",0,0
BlackCardCoin.sol,Contratos Limpos,DeepSeek-R1,0,5,0,"70,18",0,0
BlackCardCoin.sol,Contratos Limpos,Llama 3.3,0,10,0,"10,11",0,0
BlackCardCoin.sol,Contratos Limpos,Gemini 2.0 Flash Thinking Experimental 01-21,0,4,0,"10,57",0,0
RFRM.sol,Contratos Limpos,GPT-4o,0,5,0,"9,03",0,0
RFRM.sol,Contratos Limpos,DeepSeek-R1,0,4,0,"22,26",0,0
RFRM.sol,Contratos Limpos,Llama 3.3,0,9,0,"7,72",0,0
RFRM.sol,Contratos Limpos,Gemini 2.0 Flash Thinking Experimental 01-21,0,4,0,"11,26",0,0
TokenOpenware.sol,Governance,GPT-4o,0,9,2,"13,79",0,0
TokenOpenware.sol,Governance,DeepSeek-R1,0,10,2,"111,86",0,0
TokenOpenware.sol,Governance,Llama 3.3,0,12,2,"33,97",0,0
TokenOpenware.sol,Governance,Gemini 2.0 Flash Thinking Experimental 01-21,0,3,2,"10,28",0,0
LIST.sol,Governance,GPT-4o,0,10,1,"33,08",0,0
LIST.sol,Governance,DeepSeek-R1,0,9,1,"118,42",0,0
LIST.sol,Governance,Llama 3.3,0,6,1,"7,26",0,0
LIST.sol,Governance,Gemini 2.0 Flash Thinking Experimental 01-21,0,4,1,"9,11",0,0
LISTFuture.sol,Governance,GPT-4o,0,7,1,"25,79",0,0
LISTFuture.sol,Governance,DeepSeek-R1,0,6,1,"47,53",0,0
LISTFuture.sol,Governance,Llama 3.3,0,10,1,"25,46",0,0
LISTFuture.sol,Governance,Gemini 2.0 Flash Thinking Experimental 01-21,0,5,1,"13,18",0,0
Signature.sol,Contratos Limpos,GPT-4o,0,7,0,"9,38",0,0
Signature.sol,Contratos Limpos,DeepSeek-R1,0,7,0,"51,32",0,0
Signature.sol,Contratos Limpos,Llama 3.3,0,10,0,"27,59",0,0
Signature.sol,Contratos Limpos,Gemini 2.0 Flash Thinking Experimental 01-21,0,8,0,"13,34",0,0
TrooperNFT.sol,Contratos Limpos,GPT-4o,0,6,0,"5,91",0,0
TrooperNFT.sol,Contratos Limpos,DeepSeek-R1,0,6,0,"48,58",0,0
TrooperNFT.sol,Contratos Limpos,Llama 3.3,0,10,0,"8,28",0,0
TrooperNFT.sol,Contratos Limpos,Gemini 2.0 Flash Thinking Experimental 01-21,0,5,0,"12,19",0,0
VotingEngine.sol,Governance,GPT-4o,0,11,2,"6,76",0,0
VotingEngine.sol,Governance,DeepSeek-R1,0,9,2,"91,66",0,0
VotingEngine.sol,Governance,Llama 3.3,0,12,2,"37,04",0,0
VotingEngine.sol,Governance,Gemini 2.0 Flash Thinking Experimental 01-21,0,7,2,"14,18",0,0
EthereumWorldsNFTStaking.sol,NFT,GPT-4o,2,9,4,"28,60",2,2
EthereumWorldsNFTStaking.sol,NFT,DeepSeek-R1,2,8,4,"92,35",0,2
EthereumWorldsNFTStaking.sol,NFT,Llama 3.3,0,12,6,"9,92",0,0
EthereumWorldsNFTStaking.sol,NFT,Gemini 2.0 Flash Thinking Experimental 01-21,0,7,6,"21,10",0,0
RWAT.sol,NFT,GPT-4o,2,8,5,"35,35",5,2
RWAT.sol,NFT,DeepSeek-R1,1,10,6,"278,21",0,1
RWAT.sol,NFT,Llama 3.3,0,13,7,"17,05",0,0
RWAT.sol,NFT,Gemini 2.0 Flash Thinking Experimental 01-21,1,9,6,"13,51",2,1
ICNR.sol,NFT,GPT-4o,0,4,1,"28,53",0,0
ICNR.sol,NFT,DeepSeek-R1,1,3,0,"16,31",1,1
ICNR.sol,NFT,Llama 3.3,0,9,1,"8,04",0,0
ICNR.sol,NFT,Gemini 2.0 Flash Thinking Experimental 01-21,0,5,1,"9,27",0,0
USDKG.sol,DeFi,GPT-4o,1,16,5,"12,83",1,1
USDKG.sol,DeFi,DeepSeek-R1,1,10,5,"43,06",1,1
USDKG.sol,DeFi,Llama 3.3,3,9,3,"20,39",2,3
USDKG.sol,DeFi,Gemini 2.0 Flash Thinking Experimental 01-21,0,4,6,"12,45",0,0
Multisig.sol,DeFi,GPT-4o,1,7,4,"10,28",1,1
Multisig.sol,DeFi,DeepSeek-R1,0,7,5,"124,16",0,0
Multisig.sol,DeFi,Llama 3.3,0,11,5,"19,61",0,0
Multisig.sol,DeFi,Gemini 2.0 Flash Thinking Experimental 01-21,0,4,5,"12,09",0,0
TGKNFTContract.sol,NFT,GPT-4o,1,5,3,"6,31",0,1
TGKNFTContract.sol,NFT,DeepSeek-R1,1,3,3,"75,98",0,1
TGKNFTContract.sol,NFT,Llama 3.3,2,11,2,"6,09",4,2
TGKNFTContract.sol,NFT,Gemini 2.0 Flash Thinking Experimental 01-21,1,1,3,"8,22",0,1
TGKMainContract.sol,NFT,GPT-4o,3,7,3,"5,58",4,3
TGKMainContract.sol,NFT,DeepSeek-R1,2,3,4,"11,21",3,2
TGKMainContract.sol,NFT,Llama 3.3,4,7,2,"15,50",9,4
TGKMainContract.sol,NFT,Gemini 2.0 Flash Thinking Experimental 01-21,3,2,3,"14,89",3,3
ModuleAuth.sol,NFT,GPT-4o,1,8,0,"10,36",3,1
ModuleAuth.sol,NFT,DeepSeek-R1,0,7,1,"91,66",0,0
ModuleAuth.sol,NFT,Llama 3.3,0,11,1,"17,74",0,0
ModuleAuth.sol,NFT,Gemini 2.0 Flash Thinking Experimental 01-21,0,4,1,"9,81",0,0
LibBytes.sol,NFT,GPT-4o,0,6,1,"9,10",0,0
LibBytes.sol,NFT,DeepSeek-R1,0,9,1,"161,77",0,0
LibBytes.sol,NFT,Llama 3.3,1,10,0,"17,17",3,1
LibBytes.sol,NFT,Gemini 2.0 Flash Thinking Experimental 01-21,1,4,0,"12,06",3,1
Elders.sol,NFT,GPT-4o,1,9,2,"11,64",2,1
Elders.sol,NFT,DeepSeek-R1,2,5,1,"129,40",2,2
Elders.sol,NFT,Llama 3.3,0,13,3,"17,09",0,0
Elders.sol,NFT,Gemini 2.0 Flash Thinking Experimental 01-21,0,1,3,"22,19",0,0
Bridge.sol,NFT,GPT-4o,0,15,7,"26,53",0,0
Bridge.sol,NFT,DeepSeek-R1,2,7,5,"99,99",1,2
Bridge.sol,NFT,Llama 3.3,5,8,2,"21,55",2,5
Bridge.sol,NFT,Gemini 2.0 Flash Thinking Experimental 01-21,3,3,4,"18,35",0,3
ERC20Vault.sol,NFT,GPT-4o,1,12,4,"20,32",1,1
ERC20Vault.sol,NFT,DeepSeek-R1,2,9,3,"49,75",0,2
ERC20Vault.sol,NFT,Llama 3.3,0,13,5,"23,77",0,0
ERC20Vault.sol,NFT,Gemini 2.0 Flash Thinking Experimental 01-21,1,7,4,"22,19",1,1
ERC721Vault.sol,NFT,GPT-4o,1,12,2,"9,97",0,1
ERC721Vault.sol,NFT,DeepSeek-R1,1,6,2,"91,51",0,1
ERC721Vault.sol,NFT,Llama 3.3,0,10,3,"12,59",0,0
ERC721Vault.sol,NFT,Gemini 2.0 Flash Thinking Experimental 01-21,0,4,3,"14,72",0,0
